pulses;x;y;z
681;-0.039917;0.757538;-0.671417
682;0.012039;0.699905;-0.591843
683;0.073959;0.708221;-0.573334
684;0.124146;0.771423;-0.571259
685;0.142670;0.820129;-0.560425
686;0.153397;0.767883;-0.569336
687;0.154434;0.670029;-0.572784
688;0.106094;0.622482;-0.577576
689;0.040146;0.595200;-0.584320
690;-0.039536;0.548065;-0.558273
691;-0.098068;0.472031;-0.529526
692;-0.077377;0.431641;-0.508270
693;-0.085800;0.341492;-0.507355
694;-0.038788;0.378311;-0.482269
695;-0.047180;0.344116;-0.455368
696;-0.057556;0.357681;-0.450150
697;-0.049255;0.351120;-0.403885
698;-0.031769;0.360580;-0.406021
699;0.022156;0.458405;-0.459396
700;0.037689;0.528870;-0.496124
701;-0.004333;0.553528;-0.533890
702;-0.042877;0.545563;-0.506042
703;-0.070374;0.578049;-0.508713
704;-0.103302;0.620499;-0.486526
705;-0.104752;0.657867;-0.446884
706;-0.131180;0.710861;-0.477402
707;-0.125488;0.786469;-0.528366
708;-0.164124;0.872681;-0.534958
709;-0.231720;0.923447;-0.550140
710;-0.235443;0.930862;-0.564575
711;-0.274918;0.963226;-0.541611
712;-0.285614;0.989258;-0.454819
713;-0.298370;1.055008;-0.469040
714;-0.321869;1.091461;-0.539169
715;-0.230667;1.156113;-0.678543
716;-0.140625;1.148010;-0.676666
717;-0.154358;1.087906;-0.619690
718;-0.179443;1.100235;-0.586746
719;-0.179535;1.136368;-0.597290
720;-0.192047;1.061111;-0.569107
721;-0.158005;1.139954;-0.724060
722;-0.189209;1.139221;-0.805389
723;-0.228836;1.066025;-0.751999
724;-0.173264;1.014557;-0.651871
725;-0.181961;1.040375;-0.578003
726;-0.191727;1.068024;-0.547089
727;-0.218689;1.057587;-0.473206
728;-0.164581;0.999374;-0.445663
729;-0.124588;1.012207;-0.438095
730;-0.073776;1.073975;-0.493225
731;0.014694;1.088715;-0.519485
732;0.028503;1.118240;-0.583939
733;0.071518;1.173965;-0.688400
734;0.095169;1.111694;-0.653229
735;0.076981;1.129196;-0.634827
736;-0.024109;1.103470;-0.547455
737;-0.096420;1.118378;-0.512375
